reg,tla,age_desc,x_gender_desc,all,all_risk_1,all_risk_2,all_risk_3,all_risk_4,all_risk_5,all_risk_6,Maori_risk_1,Maori_risk_2,Maori_risk_3,Maori_risk_4,Maori_risk_5,Maori_risk_6,European_risk_1,European_risk_2,European_risk_3,European_risk_4,European_risk_5,European_risk_6,Asian_risk_1,Asian_risk_2,Asian_risk_3,Asian_risk_4,Asian_risk_5,Asian_risk_6,Pacific_risk_1,Pacific_risk_2,Pacific_risk_3,Pacific_risk_4,Pacific_risk_5,Pacific_risk_6,Other_risk_1,Other_risk_2,Other_risk_3,Other_risk_4,Other_risk_5,Other_risk_6
Auckland Region,Albert-Eden Local Board Area,00-05,All,6441,6171,273,78,0,0,0,399,93,27,0,0,0,4077,99,33,0,0,0,1758,36,9,0,0,0,624,132,33,0,0,0,210,24,6,0,0,0
Auckland Region,Albert-Eden Local Board Area,00-05,Female,3132,2994,141,39,0,0,0,195,48,18,0,0,0,1965,48,18,0,0,0,843,18,0,0,0,0,303,69,15,0,0,0,120,15,0,0,0,0
Auckland Region,Albert-Eden Local Board Area,00-05,Male,3312,3177,135,36,0,0,0,204,45,12,0,0,0,2112,51,18,0,0,0,915,21,0,0,0,0,324,66,18,0,0,0,90,12,0,0,0,0
Auckland Region,Albert-Eden Local Board Area,06-14,All,9408,9018,390,117,21,0,0,531,120,54,9,0,0,5751,153,48,9,0,0,2388,30,6,0,0,0,876,177,45,0,0,0,216,30,6,0,0,0
Auckland Region,Albert-Eden Local Board Area,06-14,Female,4620,4440,183,48,9,0,0,249,45,21,0,0,0,2823,72,24,6,0,0,1137,9,0,0,0,0,432,87,21,0,0,0,117,15,0,0,0,0
Auckland Region,Albert-Eden Local Board Area,06-14,Male,4788,4575,210,69,15,0,0,279,72,33,6,0,0,2928,78,24,0,0,0,1251,18,0,0,0,0,444,90,24,0,0,0,99,15,6,0,0,0
Auckland Region,Albert-Eden Local Board Area,15-19,All,5838,96,96,33,93,102,330,12,18,12,30,39,75,60,69,15,36,45,174,15,12,0,6,6,36,18,24,6,33,33,87,0,0,0,0,0,9
Auckland Region,Albert-Eden Local Board Area,15-19,Female,2814,36,39,33,0,45,123,0,9,12,0,18,27,24,30,15,0,15,66,0,6,0,0,0,12,0,9,6,0,15,30,0,0,0,0,0,0
Auckland Region,Albert-Eden Local Board Area,15-19,Male,3024,57,57,0,93,60,207,9,9,0,30,18,48,33,39,0,39,30,105,12,6,0,6,0,21,15,15,0,33,18,60,0,0,0,0,0,6
Auckland Region,Albert-Eden Local Board Area,20-24,All,6252,78,63,21,27,66,237,24,24,6,12,12,69,27,33,12,9,30,108,9,0,0,0,12,21,27,18,0,15,12,69,0,0,0,0,0,6
Auckland Region,Albert-Eden Local Board Area,20-24,Female,3120,0,15,6,27,21,66,0,6,0,12,6,27,0,9,0,9,9,27,0,0,0,0,6,6,0,0,0,15,0,21,0,0,0,0,0,0
Auckland Region,Albert-Eden Local Board Area,20-24,Male,3135,72,48,15,0,45,171,21,15,0,0,9,45,27,24,9,0,21,81,9,0,0,0,0,15,27,12,0,0,12,51,0,0,0,0,0,6
Auckland Region,Devonport-Takapuna Local Board Are,00-05,All,3852,3729,120,36,0,0,0,267,57,18,0,0,0,2901,84,24,0,0,0,786,9,0,0,0,0,138,15,0,0,0,0,99,9,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,00-05,Female,1914,1854,60,21,0,0,0,126,33,12,0,0,0,1434,45,15,0,0,0,393,0,0,0,0,0,60,6,0,0,0,0,51,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,00-05,Male,1938,1878,57,15,0,0,0,141,27,6,0,0,0,1470,39,9,0,0,0,393,0,0,0,0,0,78,6,0,0,0,0,45,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,06-14,All,5868,5715,153,48,12,0,0,279,66,24,9,0,0,4290,96,33,6,0,0,1098,12,0,0,0,0,171,18,0,0,0,0,93,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,06-14,Female,2820,2736,84,21,0,0,0,150,36,9,0,0,0,2046,54,18,0,0,0,519,0,0,0,0,0,90,9,0,0,0,0,51,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,06-14,Male,3048,2976,72,27,6,0,0,129,30,15,9,0,0,2244,45,18,0,0,0,585,9,0,0,0,0,81,12,0,0,0,0,45,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,15-19,All,3780,45,60,12,39,39,159,6,6,6,9,18,30,33,51,12,24,27,123,6,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,15-19,Female,1809,15,27,15,0,24,66,0,6,6,0,9,18,15,21,12,0,18,57,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,15-19,Male,1971,30,33,0,36,15,93,0,0,0,9,6,12,21,30,0,24,9,69,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,20-24,All,3516,24,36,9,15,30,102,6,18,0,9,0,30,18,21,9,9,21,72,0,0,0,0,6,9,0,0,0,0,0,6,0,0,0,0,0,0
Auckland Region,Devonport-Takapuna Local Board Are,20-24,Female,1731,0,6,6,15,9,33,0,0,0,6,0,12,0,0,9,9,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
